Alphatbet 		 Occurance 		 Frequency
a		389		7.660496258369437
b		94		1.8511224891689642
c		7		0.13784954706577393
d		4		0.07877116975187082
e		38		0.7483261126427727
f		303		5.966916108704214
g		167		3.2886963371406064
h		125		2.461599054745963
i		445		8.763292634895627
j		112		2.205592753052383
k		415		8.172508861756597
l		10		0.19692792437967704
m		50		0.9846396218983853
n		152		2.993304450571091
o		130		2.5600630169358016
p		85		1.6738873572272546
q		233		4.5884206380464745
r		79		1.5557306025994486
s		233		4.5884206380464745
t		82		1.6148089799133518
u		5		0.09846396218983852
v		179		3.5250098463962187
w		360		7.089405277668373
x		324		6.380464749901536
y		373		7.345411579361953
z		684		13.469870027569911
totalCount 5078
