Alphatbet 		 Occurance 		 Frequency
a		535		7.724516315333525
b		108		1.559341611319665
c		176		2.5411492925209354
d		244		3.522956973722206
e		866		12.503609587063242
f		218		3.14755991914525
g		169		2.4400808547502164
h		361		5.21224371931851
i		530		7.652324574068727
j		20		0.28876696505919724
k		51		0.7363557609009529
l		330		4.764654923476754
m		185		2.6710944267975743
n		464		6.699393589373376
o		581		8.38868033496968
p		96		1.3860814322841466
q		6		0.08663008951775916
r		408		5.890846087207623
s		404		5.833092694195784
t		652		9.41380306092983
u		173		2.4978342477620563
v		77		1.1117528154779093
w		150		2.165752237943979
x		5		0.07219174126479931
y		112		1.6170950043315047
z		5		0.07219174126479931
totalCount 6926
